,Name,Price,Make,Model,Fuel Type,Odometer,Colour,Engine Size ( in Litres),Transmission,Body Type,Manufacturing Year,County,Owners,Doors,Tax Expiry,NCT Expiry,Link
380,PEUGEOT 2008,"€30,995",PEUGEOT,2008,Diesel,"45,601",White,2.2,Manual,Van,2022,Monaghan,1,3,Apr-2022,-,http://www.cars.ie/used-cars/PEUGEOT-2008-2022-Monaghan-1735519
381,PEUGEOT BOXER,"€24,900",PEUGEOT,BOXER,Diesel,"112,980",White,1.6,Manual,Van,2020,Sligo,1,3,Jan-2023,Feb-2023,http://www.cars.ie/used-cars/PEUGEOT-BOXER-2020-Sligo-1735518
382,FORD TRANSIT CONNECT,"€14,950",FORD,TRANSIT,Diesel,"121,059",Grey,2.0,Manual,Saloon,2016,Limerick,2,4,Nov-2022,Mar-2023,http://www.cars.ie/used-cars/FORD-TRANSIT-CONNECT-2016-Limerick-1735451
383,TOYOTA AVENSIS,"€15,950",TOYOTA,AVENSIS,Diesel,"266,183",Black,1.4,Manual,Hatchback,2017,Limerick,2,4,-,Oct-2023,http://www.cars.ie/used-cars/TOYOTA-AVENSIS-2017-Limerick-1735450
384,KIA RIO,"€6,250",KIA,RIO,Diesel,"177,436",White,1.4,Manual,Saloon,2012,Meath,2,4,Jun-2023,May-2024,http://www.cars.ie/used-cars/KIA-RIO-2012-Meath-1735444
385,TOYOTA COROLLA,"€13,750",TOYOTA,COROLLA,Diesel,"147,692",Blue,2.0,Manual,Estate,2016,Westmeath,5,4,Sep-2022,Jan-2023,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2016-Westmeath-1735484
386,VOLKSWAGEN TIGUAN,"€12,950",VOLKSWAGEN,TIGUAN,Diesel,"62,121",Bronze,1.4,Manual,Hatchback,2012,Westmeath,1,4,Jun-2023,Jul-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-TIGUAN-2012-Westmeath-1735483
387,TOYOTA AURIS,POA,TOYOTA,AURIS,Diesel,"55,265",Blue,2.0,Manual,Estate,2017,Clare,-,5,-,-,http://www.cars.ie/used-cars/TOYOTA-AURIS-2017-Clare-1735482
388,AUDI Q5,POA,AUDI,Q5,Petrol,"94,483",Black,1.1,Manual,Hatchback,2020,Antrim,2,3,Feb-2023,Mar-2024,http://www.cars.ie/used-cars/AUDI-Q5-2020-Antrim-1735323
389,RENAULT TWINGO,"€5,950",RENAULT,TWINGO,Diesel,"85,322",Grey,1.5,Manual,SUV,2013,Dublin,2,5,Oct-2022,Jul-2024,http://www.cars.ie/used-cars/RENAULT-TWINGO-2013-Dublin-1735002
390,FORD KUGA,"€25,900",FORD,KUGA,Diesel,"91,237",White,1.6,Manual,Hatchback,2018,Kildare,2,5,Jun-2023,Jul-2023,http://www.cars.ie/used-cars/FORD-KUGA-2018-Kildare-1735240
391,OPEL ASTRA,"€10,995",OPEL,ASTRA,Electric,2,Red,0.0,Automatic,Hatchback,2015,Galway,-,5,-,-,http://www.cars.ie/used-cars/OPEL-ASTRA-2015-Galway-1735238
392,PEUGEOT 208,"€36,450",PEUGEOT,208,Petrol,"12,909",Red,1.0,Manual,Hatchback,2023,Tipperary,1,5,Mar-2023,Apr-2025,http://www.cars.ie/used-cars/PEUGEOT-208-2023-Tipperary-1735193
393,VOLKSWAGEN GOLF,"€30,950",VOLKSWAGEN,GOLF,Diesel,"69,998",Black,2.0,Automatic,SUV,2021,Wicklow,1,5,Oct-2022,Jan-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2021-Wicklow-1735237
394,VOLVO XC60,"€45,900",VOLVO,XC60,Diesel,"8,211",Black,2.0,Automatic,SUV,2019,Dublin,1,5,Sep-2022,Jul-2026,http://www.cars.ie/used-cars/VOLVO-XC60-2019-Dublin-1735335
395,SKODA KODIAQ,"€55,950",SKODA,KODIAQ,Diesel,"107,699",Silver,2.1,Automatic,Saloon,2022,Wicklow,2,-,Nov-2022,May-2024,http://www.cars.ie/used-cars/SKODA-KODIAQ-2022-Wicklow-1735336
396,MERCEDES-BENZ C CLASS,"€26,900",MERCEDES-BENZ,C,Diesel,10,Blue,2.0,Manual,SUV,2016,Dublin,-,-,-,-,http://www.cars.ie/used-cars/MERCEDES-BENZ-C-CLASS-2016-Dublin-1735334
397,VOLKSWAGEN T-ROC,"€39,660",VOLKSWAGEN,T-ROC,Diesel,"110,163",Silver,2.0,Automatic,SUV,2023,Laois,3,4,Mar-2023,May-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-T-ROC-2023-Laois-1735236
398,BMW X3,"€44,995",BMW,X3,Petrol,"4,999",-,3.0,Automatic,SUV,2018,Galway,1,4,Nov-2022,May-2026,http://www.cars.ie/used-cars/BMW-X3-2018-Galway-1735333
399,BMW X5,POA,BMW,X5,Diesel,"45,599",Red,1.4,Manual,MPV,2022,Westmeath,2,5,Dec-2022,Mar-2024,http://www.cars.ie/used-cars/BMW-X5-2022-Westmeath-1735332
400,KIA VENGA,"€15,950",KIA,VENGA,Petrol,0,Blue,1.5,Automatic,Hatchback,2018,Limerick,-,5,-,-,http://www.cars.ie/used-cars/KIA-VENGA-2018-Limerick-1735234
401,HONDA JAZZ,"€32,115",HONDA,JAZZ,Petrol,"55,316",Blue,2.0,Manual,SUV,2022,Dublin,1,4,Jan-2023,Jan-2024,http://www.cars.ie/used-cars/HONDA-JAZZ-2022-Dublin-1735331
402,MAZDA CX-30,POA,MAZDA,CX-30,Diesel,"164,521",Red,1.5,Manual,Van,2020,Wexford,5,3,Sep-2023,-,http://www.cars.ie/used-cars/MAZDA-CX-30-2020-Wexford-1735197
403,FORD COURIER,POA,FORD,COURIER,Diesel,"118,320",Red,2.2,Automatic,SUV,2017,Wexford,3,5,Dec-2022,May-2024,http://www.cars.ie/used-cars/FORD-COURIER-2017-Wexford-1735196
404,LAND ROVER RANGE ROVER EVOQUE,"€19,950",LAND,ROVER,Diesel,0,Grey,2.0,Automatic,Saloon,2014,Wexford,-,4,-,-,http://www.cars.ie/used-cars/LAND-ROVER-RANGE-ROVER-EVOQUE-2014-Wexford-1735198
405,BMW 5 SERIES,"€61,695",BMW,5,Diesel,0,Grey,2.0,Automatic,Saloon,2023,Wexford,-,4,-,-,http://www.cars.ie/used-cars/BMW-5-SERIES-2023-Wexford-1735158
406,BMW 5 SERIES,"€66,495",BMW,5,Diesel,0,White,2.0,Automatic,Saloon,2023,Wexford,-,4,-,-,http://www.cars.ie/used-cars/BMW-5-SERIES-2023-Wexford-1735156
407,BMW 5 SERIES,"€59,695",BMW,5,Petrol,"28,936",White,1.4,Manual,Estate,2023,Wexford,1,5,Nov-2022,Jan-2023,http://www.cars.ie/used-cars/BMW-5-SERIES-2023-Wexford-1735157
408,KIA STONIC,"€18,900",KIA,STONIC,Petrol,"6,064",White,1.0,Manual,Estate,2019,Cork,1,5,Dec-2022,Jan-2026,http://www.cars.ie/used-cars/KIA-STONIC-2019-Cork-1735233
409,KIA STONIC,"€22,900",KIA,STONIC,Diesel,"67,230",Grey,1.5,Manual,SUV,2022,Cork,3,5,Aug-2023,Feb-2024,http://www.cars.ie/used-cars/KIA-STONIC-2022-Cork-1735232
410,DACIA DUSTER,"€12,490",DACIA,DUSTER,Petrol,"98,316",White,1.4,Automatic,MPV,2016,Dublin,1,5,-,-,http://www.cars.ie/used-cars/DACIA-DUSTER-2016-Dublin-1735231
411,VOLKSWAGEN SHARAN,"€27,890",VOLKSWAGEN,SHARAN,Diesel,"161,999",Silver,2.0,Automatic,Saloon,2016,Dublin,1,4,Jun-2023,Feb-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-SHARAN-2016-Dublin-1735329
412,MERCEDES-BENZ E CLASS,"€26,250",MERCEDES-BENZ,E,Petrol,0,-,1.0,Manual,SUV,2017,Dublin,-,-,-,-,http://www.cars.ie/used-cars/MERCEDES-BENZ-E-CLASS-2017-Dublin-1735325
413,DACIA SANDERO STEPWAY,"€18,690",DACIA,SANDERO,Petrol,0,-,1.0,Manual,SUV,2023,Mayo,-,-,-,-,http://www.cars.ie/used-cars/DACIA-SANDERO-STEPWAY-2023-Mayo-1735229
414,DACIA SANDERO STEPWAY,"€22,190",DACIA,SANDERO,Petrol,0,-,1.0,Manual,SUV,2023,Mayo,-,-,-,-,http://www.cars.ie/used-cars/DACIA-SANDERO-STEPWAY-2023-Mayo-1735228
415,DACIA SANDERO STEPWAY,"€20,590",DACIA,SANDERO,Petrol,0,-,1.0,Automatic,Hatchback,2023,Mayo,-,-,-,-,http://www.cars.ie/used-cars/DACIA-SANDERO-STEPWAY-2023-Mayo-1735227
416,DACIA SANDERO,"€21,190",DACIA,SANDERO,Diesel,"50,205",Black,1.6,Automatic,Hatchback,2023,Mayo,2,5,Jul-2023,Apr-2023,http://www.cars.ie/used-cars/DACIA-SANDERO-2023-Mayo-1735324
417,SEAT LEON,"€21,995",SEAT,LEON,Petrol,"56,877",Grey,2.0,Manual,Hatchback,2017,Dublin,1,5,Apr-2023,Jan-2023,http://www.cars.ie/used-cars/SEAT-LEON-2017-Dublin-1735226
418,VOLKSWAGEN GOLF,"€32,245",VOLKSWAGEN,GOLF,Diesel,"65,441",Grey,2.0,Automatic,SUV,2017,Dublin,2,5,Nov-2022,Mar-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2017-Dublin-1735090
419,LAND ROVER RANGE ROVER SPORT,"€58,995",LAND,ROVER,Diesel,"36,440",White,2.0,Manual,Van,2017,Dublin,1,5,Sep-2022,-,http://www.cars.ie/used-cars/LAND-ROVER-RANGE-ROVER-SPORT-2017-Dublin-1735225
420,VOLKSWAGEN TRANSPORTER,"€37,950",VOLKSWAGEN,TRANSPORTER,Electric,"14,515",Grey,0.0,Automatic,Hatchback,2021,Dublin,1,5,Aug-2023,Sep-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-TRANSPORTER-2021-Dublin-1735089
421,VOLKSWAGEN ID.3,"€36,995",VOLKSWAGEN,ID.3,Diesel,"17,440",Orange,1.5,Manual,Hatchback,2020,Dublin,1,5,Oct-2022,Mar-2025,http://www.cars.ie/used-cars/VOLKSWAGEN-ID.3-2020-Dublin-1735224
422,RENAULT CAPTUR,"€25,500",RENAULT,CAPTUR,Diesel,587,Blue,2.0,Manual,MPV,2021,Cork,1,5,Feb-2023,-,http://www.cars.ie/used-cars/RENAULT-CAPTUR-2021-Cork-1735086
423,VOLKSWAGEN CADDY,"€26,950",VOLKSWAGEN,CADDY,Diesel,"97,349",White,2.0,Manual,SUV,2022,Dublin,2,5,Feb-2023,Jul-2022,http://www.cars.ie/used-cars/VOLKSWAGEN-CADDY-2022-Dublin-1735088
424,HYUNDAI TUCSON,"€25,495",HYUNDAI,TUCSON,Petrol,"25,249",Grey,1.6,Automatic,SUV,2018,Cork,1,5,Jun-2023,Jun-2025,http://www.cars.ie/used-cars/HYUNDAI-TUCSON-2018-Cork-1735085
425,HYUNDAI TUCSON,"€38,497",HYUNDAI,TUCSON,Diesel,"35,636",Red,1.6,Manual,SUV,2021,Cork,1,5,Jun-2023,Jul-2024,http://www.cars.ie/used-cars/HYUNDAI-TUCSON-2021-Cork-1735220
426,HYUNDAI TUCSON,"€31,495",HYUNDAI,TUCSON,Diesel,"50,973",Grey,1.6,Manual,SUV,2020,Cork,1,5,Dec-2022,Jan-2025,http://www.cars.ie/used-cars/HYUNDAI-TUCSON-2020-Cork-1735084
427,HYUNDAI TUCSON,"€35,645",HYUNDAI,TUCSON,Petrol,"123,087",Silver,2.0,Automatic,Saloon,2021,Cork,1,4,-,-,http://www.cars.ie/used-cars/HYUNDAI-TUCSON-2021-Cork-1735083
428,HONDA SHUTTLE,"€13,490",HONDA,SHUTTLE,Petrol,"71,323",Grey,1.3,Automatic,Hatchback,2016,Cork,1,-,-,-,http://www.cars.ie/used-cars/HONDA-SHUTTLE-2016-Cork-1735219
429,HONDA JAZZ,"€18,990",HONDA,JAZZ,Petrol,"90,025",Grey,1.0,Automatic,Hatchback,2019,Cork,1,5,Oct-2022,Jan-2023,http://www.cars.ie/used-cars/HONDA-JAZZ-2019-Cork-1735218
430,TOYOTA VITZ,"€15,890",TOYOTA,VITZ,Petrol,"84,346",Grey,1.0,Manual,Hatchback,2019,Cork,1,4,Oct-2022,Mar-2023,http://www.cars.ie/used-cars/TOYOTA-VITZ-2019-Cork-1735217
431,NISSAN MICRA,"€13,740",NISSAN,MICRA,Diesel,"63,002",Black,2.0,Manual,Hatchback,2019,Cork,3,4,-,Sep-2024,http://www.cars.ie/used-cars/NISSAN-MICRA-2019-Cork-1735081
432,BMW X1,"€18,900",BMW,X1,Petrol,"38,663",White,1.3,Manual,SUV,2014,Cork,1,5,Jan-2023,Jan-2024,http://www.cars.ie/used-cars/BMW-X1-2014-Cork-1735080
433,RENAULT KADJAR,"€27,990",RENAULT,KADJAR,Petrol,"32,324",White,0.0,Manual,SUV,2020,Dublin,3,4,Feb-2023,May-2024,http://www.cars.ie/used-cars/RENAULT-KADJAR-2020-Dublin-1735079
434,DACIA SANDERO STEPWAY,"€13,990",DACIA,SANDERO,Diesel,"13,798",Black,1.5,Manual,SUV,2018,Dublin,1,5,Jul-2022,Jan-2025,http://www.cars.ie/used-cars/DACIA-SANDERO-STEPWAY-2018-Dublin-1735078
435,DACIA DUSTER,"€24,240",DACIA,DUSTER,Petrol,"30,000",Grey,1.1,Manual,Hatchback,2021,Dublin,1,4,Sep-2022,Feb-2024,http://www.cars.ie/used-cars/DACIA-DUSTER-2021-Dublin-1735077
436,RENAULT CLIO,"€14,900",RENAULT,CLIO,Diesel,"4,820",Grey,1.5,Manual,SUV,2018,Dublin,1,5,Sep-2022,Jan-2026,http://www.cars.ie/used-cars/RENAULT-CLIO-2018-Dublin-1735076
437,DACIA DUSTER,"€24,800",DACIA,DUSTER,Petrol,"51,138",Grey,1.0,Manual,Hatchback,2022,Dublin,2,5,Jan-2023,Jul-2024,http://www.cars.ie/used-cars/DACIA-DUSTER-2022-Dublin-1735075
438,SEAT IBIZA,"€16,450",SEAT,IBIZA,Diesel,0,Red,1.7,Manual,SUV,2018,Dublin,4,5,-,Nov-2022,http://www.cars.ie/used-cars/SEAT-IBIZA-2018-Dublin-1734895
439,KIA SPORTAGE,"€19,995",KIA,SPORTAGE,Diesel,"86,142",White,2.0,Manual,Van,2016,Waterford,1,3,Dec-2022,-,http://www.cars.ie/used-cars/KIA-SPORTAGE-2016-Waterford-1734938
440,FORD TRANSIT,"€19,595",FORD,TRANSIT,Diesel,"47,208",Grey,1.5,Manual,SUV,2018,Wexford,2,5,Nov-2022,Sep-2023,http://www.cars.ie/used-cars/FORD-TRANSIT-2018-Wexford-1734977
441,DACIA DUSTER,"€20,995",DACIA,DUSTER,Petrol,"38,214",Red,0.0,Manual,Hatchback,2019,Wexford,2,4,Dec-2022,Jan-2023,http://www.cars.ie/used-cars/DACIA-DUSTER-2019-Wexford-1734975
442,DACIA SANDERO,"€13,995",DACIA,SANDERO,Petrol,"2,860",Black,1.0,Manual,Hatchback,2019,Wexford,1,4,Jul-2023,Jul-2023,http://www.cars.ie/used-cars/DACIA-SANDERO-2019-Wexford-1734976
443,SEAT IBIZA,"€16,450",SEAT,IBIZA,Petrol,"78,999",Silver,1.0,Manual,Hatchback,2019,Dublin,2,4,Dec-2022,May-2023,http://www.cars.ie/used-cars/SEAT-IBIZA-2019-Dublin-1734974
444,SKODA FABIA,"€11,900",SKODA,FABIA,Diesel,0,Grey,2.0,Automatic,SUV,2015,Donegal,-,-,-,-,http://www.cars.ie/used-cars/SKODA-FABIA-2015-Donegal-1734919
445,AUDI Q3,"€51,954",AUDI,Q3,Petrol,2,Grey,1.2,Manual,SUV,2023,Galway,-,5,-,-,http://www.cars.ie/used-cars/AUDI-A3-2023-Galway-1735126
446,OPEL GRANDLAND X,"€44,195",OPEL,GRANDLAND,Electric,0,Grey,0.0,Automatic,Hatchback,2023,Cork,1,4,Jan-2023,Jul-2025,http://www.cars.ie/used-cars/OPEL-GRANDLAND-X-2023-Cork-1735069
447,RENAULT ZOE,"€27,950",RENAULT,ZOE,Petrol,2,Blue,1.2,Manual,Hatchback,2021,Longford,-,5,-,-,http://www.cars.ie/used-cars/RENAULT-ZOE-2021-Longford-1735176
448,OPEL MOKKA,"€34,695",OPEL,MOKKA,Petrol,2,Red,1.2,Manual,Hatchback,2023,Cork,-,5,-,-,http://www.cars.ie/used-cars/OPEL-MOKKA-2023-Cork-1735068
449,OPEL MOKKA,"€30,195",OPEL,MOKKA,Petrol,2,White,1.2,Manual,Hatchback,2023,Cork,-,5,-,-,http://www.cars.ie/used-cars/OPEL-MOKKA-2023-Cork-1735066
450,OPEL MOKKA,"€31,145",OPEL,MOKKA,Petrol,2,Grey,1.2,Manual,SUV,2023,Cork,-,5,-,-,http://www.cars.ie/used-cars/OPEL-MOKKA-2023-Cork-1735067
451,OPEL CROSSLAND X,"€32,295",OPEL,CROSSLAND,Petrol,2,White,1.2,Manual,Hatchback,2023,Cork,-,5,-,-,http://www.cars.ie/used-cars/OPEL-CROSSLAND-X-2023-Cork-1735065
452,OPEL ASTRA,"€36,845",OPEL,ASTRA,Petrol,2,Red,1.2,Manual,SUV,2023,Cork,-,5,-,-,http://www.cars.ie/used-cars/OPEL-ASTRA-2023-Cork-1735063
453,OPEL CROSSLAND X,"€30,695",OPEL,CROSSLAND,Petrol,2,Blue,1.2,Manual,Hatchback,2023,Cork,-,5,-,-,http://www.cars.ie/used-cars/OPEL-CROSSLAND-X-2023-Cork-1735064
454,OPEL ASTRA,"€34,395",OPEL,ASTRA,Petrol,2,Red,1.2,Manual,Hatchback,2023,Cork,-,5,-,-,http://www.cars.ie/used-cars/OPEL-ASTRA-2023-Cork-1735062
455,OPEL ASTRA,"€30,305",OPEL,ASTRA,Electric,2,White,1.0,Automatic,Hatchback,2023,Cork,-,5,-,-,http://www.cars.ie/used-cars/OPEL-ASTRA-2023-Cork-1735061
456,OPEL CORSA,"€36,500",OPEL,CORSA,Petrol,2,Red,1.2,Manual,Hatchback,2023,Cork,-,5,-,-,http://www.cars.ie/used-cars/OPEL-CORSA-2023-Cork-1735214
457,OPEL CORSA,"€24,695",OPEL,CORSA,Petrol,2,Blue,1.2,Manual,Hatchback,2023,Cork,-,5,-,-,http://www.cars.ie/used-cars/OPEL-CORSA-2023-Cork-1735059
458,OPEL CORSA,"€26,695",OPEL,CORSA,Diesel,"60,188",Grey,1.6,Manual,Hatchback,2023,Cork,1,5,-,-,http://www.cars.ie/used-cars/OPEL-CORSA-2023-Cork-1735060
459,HONDA CIVIC,"€27,900",HONDA,CIVIC,Diesel,"39,562",Grey,1.5,Manual,Saloon,2020,Cork,2,4,Jun-2022,Jan-2024,http://www.cars.ie/used-cars/HONDA-CIVIC-2020-Cork-1735058
460,PEUGEOT 508,"€29,995",PEUGEOT,508,Petrol,"49,999",Grey,1.4,Manual,Saloon,2020,Dublin,1,4,Oct-2022,Apr-2022,http://www.cars.ie/used-cars/PEUGEOT-508-2020-Dublin-1734996
461,SKODA SUPERB,"€25,950",SKODA,SUPERB,Diesel,"35,212",Grey,2.0,Manual,Saloon,2018,Dublin,1,5,Mar-2023,Mar-2025,http://www.cars.ie/used-cars/SKODA-SUPERB-2018-Dublin-1735057
462,SKODA OCTAVIA,"€30,950",SKODA,OCTAVIA,Petrol,"73,099",Grey,1.0,Manual,Estate,2021,Kildare,1,4,Sep-2022,Jul-2024,http://www.cars.ie/used-cars/SKODA-OCTAVIA-2021-Kildare-1735056
463,SKODA KAROQ,"€24,500",SKODA,KAROQ,Petrol,0,White,1.0,Manual,Hatchback,2018,Cork,-,5,-,-,http://www.cars.ie/used-cars/SKODA-KAROQ-2018-Cork-1734920
464,SKODA SCALA,POA,SKODA,SCALA,Petrol,0,Silver,1.0,Manual,SUV,2023,Tipperary,-,5,-,-,http://www.cars.ie/used-cars/SKODA-SCALA-2023-Tipperary-1735055
465,SKODA KAMIQ,POA,SKODA,KAMIQ,Petrol,0,Silver,1.0,Manual,Hatchback,2023,Tipperary,-,5,-,-,http://www.cars.ie/used-cars/SKODA-KAMIQ-2023-Tipperary-1735054
466,SKODA FABIA,POA,SKODA,FABIA,Diesel,"3,000",Grey,2.2,Automatic,SUV,2023,Tipperary,1,4,Mar-2023,Oct-2026,http://www.cars.ie/used-cars/SKODA-FABIA-2023-Tipperary-1735053
467,MAZDA CX-5,"€53,950",MAZDA,CX-5,Electric,0,Black,0.0,Automatic,SUV,2022,Dublin,1,5,-,-,http://www.cars.ie/used-cars/MAZDA-CX-5-2022-Dublin-1735211
468,MERCEDES-BENZ EQA,"€67,946",MERCEDES-BENZ,EQA,Diesel,0,Black,2.0,Automatic,Saloon,2022,Dublin,1,4,-,-,http://www.cars.ie/used-cars/MERCEDES-BENZ-EQA-2022-Dublin-1735210
469,MERCEDES-BENZ E CLASS,"€73,946",MERCEDES-BENZ,E,Electric,"4,265",Blue,0.0,Automatic,Hatchback,2022,Dublin,1,5,Feb-2023,Mar-2026,http://www.cars.ie/used-cars/MERCEDES-BENZ-E-CLASS-2022-Dublin-1735208
470,VOLKSWAGEN ID.4,"€52,950",VOLKSWAGEN,ID.4,Petrol,"1,482",Grey,1.0,Manual,Hatchback,2022,Westmeath,1,5,Jun-2023,Jul-2026,http://www.cars.ie/used-cars/VOLKSWAGEN-ID.4-2022-Westmeath-1735207
471,DACIA SANDERO,"€20,495",DACIA,SANDERO,Diesel,"8,501",Red,1.6,Manual,Hatchback,2022,Dublin,1,5,Jan-2023,Jan-2023,http://www.cars.ie/used-cars/DACIA-SANDERO-2022-Dublin-1735052
472,OPEL ASTRA,"€16,995",OPEL,ASTRA,Petrol,"142,058",Black,1.5,Automatic,MPV,2017,Dublin,1,-,-,-,http://www.cars.ie/used-cars/OPEL-ASTRA-2017-Dublin-1735051
473,HONDA VEZEL,"€19,995",HONDA,VEZEL,Diesel,"49,783",White,2.0,Manual,Van,2015,Galway,1,4,Oct-2022,-,http://www.cars.ie/used-cars/HONDA-VEZEL-2015-Galway-1735205
474,NISSAN NV300,"€24,386",NISSAN,NV300,Diesel,"103,250",Grey,1.6,Automatic,Saloon,2021,Dublin,2,4,Oct-2023,Jan-2023,http://www.cars.ie/used-cars/NISSAN-NV300-2021-Dublin-1735050
475,MERCEDES-BENZ C CLASS,"€25,995",MERCEDES-BENZ,C,Petrol,0,Blue,1.3,Automatic,MPV,2017,Dublin,1,4,Oct-2022,Jul-2025,http://www.cars.ie/used-cars/MERCEDES-BENZ-C-CLASS-2017-Dublin-1735120
476,NISSAN QASHQAI,"€40,995",NISSAN,QASHQAI,Petrol,"54,999",Blue,1.2,Automatic,Hatchback,2021,Dublin,3,4,Sep-2022,Jun-2023,http://www.cars.ie/used-cars/NISSAN-QASHQAI-2021-Dublin-1735121
477,NISSAN MICRA,"€10,995",NISSAN,MICRA,Petrol,359,Blue,1.0,Manual,Hatchback,2015,Dublin,1,5,-,-,http://www.cars.ie/used-cars/NISSAN-MICRA-2015-Dublin-1735119
478,RENAULT CLIO,"€22,495",RENAULT,CLIO,Petrol,"12,880",Red,1.3,Manual,SUV,2022,Dublin,1,5,Oct-2022,Jul-2025,http://www.cars.ie/used-cars/RENAULT-CLIO-2022-Dublin-1735049
479,NISSAN QASHQAI,"€35,495",NISSAN,QASHQAI,Diesel,"108,172",Brown,1.5,Manual,Hatchback,2021,Dublin,2,5,Aug-2023,Jan-2023,http://www.cars.ie/used-cars/NISSAN-QASHQAI-2021-Dublin-1735047
480,RENAULT MEGANE,POA,RENAULT,MEGANE,Petrol,"21,549",Blue,1.0,Manual,MPV,2017,Dublin,2,4,Sep-2023,Jul-2024,http://www.cars.ie/used-cars/RENAULT-MEGANE-2017-Dublin-1735048
481,FORD PUMA,"€24,995",FORD,PUMA,Diesel,"67,525",Grey,1.7,Manual,SUV,2020,Dublin,1,5,Jun-2023,Nov-2023,http://www.cars.ie/used-cars/FORD-PUMA-2020-Dublin-1735045
482,KIA SPORTAGE,"€20,995",KIA,SPORTAGE,Diesel,"9,999",Blue,1.5,Automatic,Estate,2017,Dublin,1,4,Feb-2023,Aug-2026,http://www.cars.ie/used-cars/KIA-SPORTAGE-2017-Dublin-1735046
483,PEUGEOT 308,"€39,995",PEUGEOT,308,Diesel,"98,158",Grey,2.0,Automatic,Saloon,2022,Dublin,1,4,Jan-2023,Jan-2024,http://www.cars.ie/used-cars/PEUGEOT-308-2022-Dublin-1735117
484,MERCEDES-BENZ E CLASS,POA,MERCEDES-BENZ,E,Diesel,"73,545",Red,2.0,Manual,Saloon,2018,Limerick,1,4,Sep-2022,Sep-2024,http://www.cars.ie/used-cars/MERCEDES-BENZ-E-CLASS-2018-Limerick-1735102
485,VOLKSWAGEN PASSAT,POA,VOLKSWAGEN,PASSAT,Petrol,"118,365",Black,1.2,Manual,SUV,2020,Laois,2,4,Oct-2022,May-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2020-Laois-1734867
486,PEUGEOT 2008,POA,PEUGEOT,2008,Diesel,"100,122",Black,2.0,Manual,Saloon,2016,Dublin,-,-,Dec-2022,May-2024,http://www.cars.ie/used-cars/PEUGEOT-2008-2016-Dublin-1734865
487,AUDI A4,POA,AUDI,A4,Petrol,"78,368",Silver,1.2,Automatic,Hatchback,2018,Dublin,1,-,-,-,http://www.cars.ie/used-cars/AUDI-A4-2018-Dublin-1734864
488,NISSAN MICRA,POA,NISSAN,MICRA,Petrol,"90,569",Silver,1.2,Automatic,Hatchback,2019,Dublin,1,-,Dec-2022,Jun-2023,http://www.cars.ie/used-cars/NISSAN-MICRA-2019-Dublin-1735099
489,NISSAN MICRA,POA,NISSAN,MICRA,Petrol,"84,870",Purple,1.2,Automatic,Hatchback,2019,Dublin,1,-,-,-,http://www.cars.ie/used-cars/NISSAN-MICRA-2019-Dublin-1735100
490,NISSAN MICRA,POA,NISSAN,MICRA,Petrol,"86,782",White,1.2,Automatic,Hatchback,2019,Dublin,1,-,-,-,http://www.cars.ie/used-cars/NISSAN-MICRA-2019-Dublin-1735098
491,NISSAN MICRA,POA,NISSAN,MICRA,Diesel,"72,288",White,1.6,Manual,Van,2019,Dublin,1,4,Feb-2023,-,http://www.cars.ie/used-cars/NISSAN-MICRA-2019-Dublin-1735097
492,PEUGEOT PARTNER,POA,PEUGEOT,PARTNER,Petrol,"142,393",Silver,3.5,Automatic,SUV,2018,Dublin,2,4,Dec-2022,Jan-2022,http://www.cars.ie/used-cars/PEUGEOT-PARTNER-2018-Dublin-1734863
493,LEXUS RX 450 H,"€28,950",LEXUS,RX,Petrol,"61,025",Grey,1.2,Automatic,Hatchback,2014,Dublin,1,5,-,-,http://www.cars.ie/used-cars/LEXUS-RX-450-H-2014-Dublin-1734978
494,NISSAN NOTE,POA,NISSAN,NOTE,Petrol,"36,999",Grey,1.4,Automatic,Hatchback,2017,Dublin,1,4,Aug-2022,Aug-2025,http://www.cars.ie/used-cars/NISSAN-NOTE-2017-Dublin-1735092
495,AUDI A3,POA,AUDI,A3,Petrol,"53,050",Grey,1.0,Manual,Estate,2021,Kilkenny,1,5,Feb-2023,Jan-2025,http://www.cars.ie/used-cars/AUDI-A3-2021-Kilkenny-1734858
496,VOLKSWAGEN GOLF,"€21,400",VOLKSWAGEN,GOLF,Petrol,"45,073",Grey,1.0,Manual,MPV,2021,Kilkenny,1,4,Jun-2023,Jul-2025,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2021-Kilkenny-1734830
497,FORD PUMA,"€23,900",FORD,PUMA,Electric,"19,700",Grey,0.0,Automatic,Estate,2021,Kilkenny,1,4,Jun-2023,Jul-2026,http://www.cars.ie/used-cars/FORD-PUMA-2021-Kilkenny-1734829
