,Name,Price,Make,Model,Fuel Type,Odometer,Colour,Engine Size ( in Litres),Transmission,Body Type,Manufacturing Year,County,Owners,Doors,Tax Expiry,NCT Expiry,Link
94,FORD FIESTA,"€12,500",FORD,FIESTA,Petrol,"69,998",Grey,1.0,Manual,Hatchback,2017,Cork,1,4,Dec-2022,Jan-2023,http://www.cars.ie/used-cars/FORD-FIESTA-2017-Cork-1735744
95,MAZDA MAZDA3,POA,MAZDA,MAZDA3,Diesel,"128,491",Blue,2.2,Manual,Saloon,2015,Kildare,3,4,-,Jul-2023,http://www.cars.ie/used-cars/MAZDA-MAZDA3-2015-Kildare-1735743
96,AUDI A3,POA,AUDI,A3,Diesel,"156,933",Black,1.6,Manual,Hatchback,2014,Kildare,2,3,-,-,http://www.cars.ie/used-cars/AUDI-A3-2014-Kildare-1735742
97,VOLKSWAGEN PASSAT,POA,VOLKSWAGEN,PASSAT,Diesel,"251,107",Brown,1.6,Manual,Saloon,2014,Kildare,5,4,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2014-Kildare-1735741
98,BMW 3 SERIES,POA,BMW,3,Diesel,"135,733",Grey,2.0,Manual,Saloon,2012,Kildare,3,4,-,-,http://www.cars.ie/used-cars/BMW-3-SERIES-2012-Kildare-1735740
99,TOYOTA COROLLA,POA,TOYOTA,COROLLA,Petrol,"209,633",Red,1.8,Manual,MPV,2007,Kildare,7,5,-,Jul-2023,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2007-Kildare-1735739
100,TOYOTA COROLLA,POA,TOYOTA,COROLLA,Petrol,"371,503",Grey,1.4,Manual,Hatchback,2004,Kildare,2,5,-,Feb-2023,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2004-Kildare-1735738
101,FORD FOCUS,POA,FORD,FOCUS,Petrol,"114,194",Grey,1.0,Manual,Hatchback,2017,Kildare,2,5,-,-,http://www.cars.ie/used-cars/FORD-FOCUS-2017-Kildare-1735737
102,RENAULT MASTER,"€11,450",RENAULT,MASTER,Diesel,"286,463",White,2.3,Manual,Van,2016,Galway,2,-,Dec-2022,Apr-2023,http://www.cars.ie/used-cars/RENAULT-MASTER-2016-Galway-1735590
103,VOLKSWAGEN PASSAT,POA,VOLKSWAGEN,PASSAT,Diesel,"163,876",Blue,1.6,Manual,Saloon,2015,Kildare,1,4,-,Nov-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2015-Kildare-1735736
