,Name,Price,Make,Model,Engine Size,Fuel Type,Odometer,Transmission,Body Type,Manufacturing Year,County,Doors,Color,Owners,Tax Expiry,NCT Expiry,URL
763,AUDI A3,"€4,450",AUDI,A3,2.5,Diesel,"318,649",Manual,Pickup,2008,Dublin,4,Grey,3,Dec-2022,-,http://www.cars.ie/used-cars/AUDI-A3-2008-Dublin-1735853
764,ISUZU D-MAX,"€15,900",ISUZU,D-MAX,1.6,Diesel,"193,121",Manual,Hatchback,2015,Dublin,4,Black,3,Sep-2022,Feb-2024,http://www.cars.ie/used-cars/ISUZU-D-MAX-2015-Dublin-1735820
765,FORD MONDEO,"€6,750",FORD,MONDEO,1.2,Petrol,"65,983",Automatic,Hatchback,2012,Cork,5,Blue,-,-,-,http://www.cars.ie/used-cars/FORD-MONDEO-2012-Cork-1735833
766,VOLKSWAGEN POLO,POA,VOLKSWAGEN,POLO,1.2,Petrol,"43,452",Automatic,Hatchback,2013,Cork,5,Red,-,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2013-Cork-1735844
767,VOLKSWAGEN POLO,POA,VOLKSWAGEN,POLO,1.4,Petrol,"72,420",Automatic,Hatchback,2015,Cork,3,White,-,-,Dec-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2015-Cork-1735843
768,AUDI A1,POA,AUDI,A1,1.4,Petrol,"127,138",Automatic,Hatchback,2014,Cork,5,White,-,-,Dec-2024,http://www.cars.ie/used-cars/AUDI-A1-2014-Cork-1735842
769,AUDI A3,POA,AUDI,A3,2.0,Diesel,"169,504",Manual,Estate,2014,Cork,5,Red,2,Dec-2022,Jun-2023,http://www.cars.ie/used-cars/AUDI-A3-2014-Cork-1735841
770,SKODA YETI,"€8,950",SKODA,YETI,2.0,Diesel,"61,499",Automatic,Estate,2011,Dublin,5,Black,1,Aug-2023,Aug-2023,http://www.cars.ie/used-cars/SKODA-YETI-2011-Dublin-1735818
771,VOLVO XC60,"€44,950",VOLVO,XC60,2.0,Petrol,"144,680",Manual,Coupe,2019,Dublin,2,Silver,4,Mar-2023,May-2023,http://www.cars.ie/used-cars/VOLVO-XC60-2019-Dublin-1735854
772,BMW 3 SERIES,"€5,950",BMW,3,2.0,Diesel,"215,652",Manual,MPV,2007,Dublin,5,White,2,Oct-2022,Jan-2024,http://www.cars.ie/used-cars/BMW-3-SERIES-2007-Dublin-1735817
773,SEAT ALHAMBRA,"€29,950",SEAT,ALHAMBRA,1.2,Petrol,"110,002",Automatic,Hatchback,2018,Dublin,5,Blue,1,-,Nov-2024,http://www.cars.ie/used-cars/SEAT-ALHAMBRA-2018-Dublin-1735819
